"zip";"individuals";"total_income";"average_income"
"33614";41290;908685;22.007386776459192
"33615";41990;1272420;30.30292926887354
"33616";13290;579788;43.62588412340105
"33617";37020;1020778;27.573689897352782
"33618";23980;1370299;57.143411175979985
"33619";34240;826277;24.131921728971964
"33621";2330;52617;22.582403433476394
"33624";36220;1297549;35.824102705687466
"33625";26420;964369;36.50147615442847
"33626";30140;1907052;63.273125414731254
"33629";24540;3531980;143.9274653626732
"33634";19880;629480;31.663983903420522
"33635";16720;571614;34.18744019138756
"33637";15600;415216;26.616410256410255
"33647";64930;3239530;49.892653626982906
"33701";14510;1962834;135.27456926257753
"33702";25980;1068342;41.121709006928405
"33703";20860;1434313;68.75901246404602
"33704";14500;2060232;142.0849655172414
"33705";22830;847873;37.13854577310556
"33706";12910;1725197;133.63261037955073
"33707";19620;1320943;67.32635066258919
"33708";13450;1013548;75.35672862453532
"33709";21230;585094;27.559773904851625
"33710";28930;1135831;39.26135499481507
"33711";15790;551552;34.93046231792274
"33712";22220;604434;27.202250225022503
"33713";26520;924908;34.875867269984916
"33714";15280;355951;23.295222513089005
"33715";6990;1211759;173.3560801144492
"33716";14280;591229;41.40259103641456
"33755";22970;966379;42.071353939921636
"33756";26440;1490027;56.35503025718608
"33759";15780;687994;43.599112801013945
"33760";14070;428253;30.437313432835822
"33761";15740;757150;48.103557814485384
"33762";5430;355547;65.47826887661142
"33763";15860;528971;33.35252206809584
"33764";23720;1005134;42.37495784148398
"33765";11970;422187;35.27042606516291
"33767";7270;1497302;205.95625859697387
"33770";20700;845677;40.853961352657
"33771";23410;659159;28.157155061939342
"33772";20680;862565;41.71010638297872
"33773";15230;521640;34.25082074852265
"33774";15300;648231;42.368039215686274
"33776";11630;570159;49.024849527085124
"33777";15800;831023;52.59639240506329
"33778";12530;417011;33.28100558659218
"33781";22840;591745;25.908274956217163
"33782";19050;656738;34.474435695538055
"33785";4620;608028;131.60779220779222
"33786";1550;285080;183.9225806451613
"33801";25810;556528;21.562495156915926
"33803";23480;1225232;52.181942078364564
"33805";22430;458679;20.449353544360232
"33809";26890;783245;29.12774265526218
"33810";47060;1329179;28.244347641308966
"33811";24490;817486;33.38040016333197
"33812";14190;543155;38.277307963354474
"33813";34540;1707350;49.43109438332368
"33815";11550;225050;19.484848484848484
"33823";32060;895891;27.944198378041172
"33825";18930;427239;22.569413629160064
"33827";2400;109366;45.56916666666667
"33830";25390;657728;25.905001969279244
"33834";4830;84795;17.555900621118013
"33837";39360;1071575;27.224974593495936
"33838";5570;116742;20.95906642728905
"33839";4480;110737;24.718080357142856
"33841";7310;175946;24.06922024623803
"33843";8120;190361;23.44347290640394
"33844";40720;868420;21.326620825147348
"33849";1330;40638;30.554887218045113
"33850";7730;188723;24.414359637774904
"33852";17510;501189;28.623015419760137
"33853";10170;218354;21.47040314650934
"33857";1070;29179;27.270093457943926
"33859";9910;332888;33.59112008072654
"33860";22200;555559;25.02518018018018
"33865";760;18529;24.38026315789474
"33868";10640;331335;31.140507518796994
"33870";18080;418283;23.135121681415928
"33872";11290;354429;31.39317980513729
"33873";12140;284852;23.463920922570015
"33875";9580;305886;31.92964509394572
"33876";4240;112950;26.639150943396228
"33880";36800;850842;23.12070652173913
"33881";35290;843798;23.91039954661377
"33884";31130;1204824;38.702987471892065
"33890";4390;101674;23.16036446469248
"33896";20550;616878;30.01839416058394
"33897";26120;631023;24.158614088820826
"33898";13690;429253;31.355222790357924
"33901";18010;726097;40.31632426429761
"33903";18300;655731;35.83229508196721
"33904";27800;1300732;46.78892086330935
"33905";32390;1086673;33.54964495214573
"33907";20020;666620;33.2977022977023
"33908";36660;2812512;76.71882160392799
"33909";32970;872826;26.473339399454048
"33912";16870;1438915;85.29430942501482
"33913";27390;2134879;77.94373859072654
"33914";40550;1982155;48.881750924784214
"33916";22260;546196;24.537106918238994
"33917";24900;820607;32.95610441767068
"33919";26220;1692595;64.55358504958048
"33920";6720;401147;59.694494047619045
"33922";3540;158793;44.85677966101695
"33928";26600;1910189;71.81161654135339
"33931";6850;603488;88.10043795620437
"33935";17320;409168;23.624018475750578
"33936";20480;436130;21.29541015625
"33946";2620;284685;108.65839694656489
"33947";9880;408880;41.38461538461539
"33948";14850;499365;33.627272727272725
"33950";20860;1341196;64.29511025886865
"33952";26810;770107;28.72461767997016
"33953";6220;298680;48.01929260450161
"33954";10220;328083;32.10205479452055
"33955";9110;466333;51.18913282107574
"33956";3130;190636;60.90607028753993
"33957";5680;1390327;244.77588028169015
"33960";650;19075;29.346153846153847
"33966";12110;623597;51.4943848059455
"33967";24880;867730;34.8766077170418
"33971";25960;536318;20.65939907550077
"33972";13800;317174;22.983623188405797
"33973";10540;169302;16.06280834914611
"33974";15750;307592;19.529650793650795
"33976";17350;320775;18.488472622478387
"33980";9640;326405;33.8594398340249
"33981";13100;555407;42.39748091603053
"33982";10590;423612;40.00113314447592
"33983";14680;526194;35.84427792915531
"33990";29510;931464;31.564351067434767
"33991";25670;946108;36.85656408258668
"33993";31210;980730;31.423582185197052
"34102";8800;7173194;815.1356818181819
"34103";10620;3228924;304.04180790960453
"34104";23020;957194;41.58097306689835
"34105";15360;2700120;175.7890625
